city,latitude,longitude,prefecture
札幌市,43.0642,141.3469,北海道
青森市,40.8246,140.74,青森県
盛岡市,39.7036,141.1527,岩手県
仙台市,38.2682,140.8694,宮城県
秋田市,39.7186,140.1024,秋田県
山形市,38.2404,140.3633,山形県
福島市,37.7608,140.4747,福島県
水戸市,36.3659,140.4714,茨城県
宇都宮市,36.5551,139.8828,栃木県
前橋市,36.389,139.0609,群馬県
さいたま市,35.8617,139.6455,埼玉県
千葉市,35.6074,140.1065,千葉県
新宿区,35.6938,139.7034,東京都
横浜市,35.4437,139.638,神奈川県
新潟市,37.9024,139.0232,新潟県
富山市,36.6953,137.2113,富山県
金沢市,36.5947,136.6256,石川県
福井市,36.0652,136.2216,福井県
甲府市,35.6639,138.5684,山梨県
長野市,36.6513,138.181,長野県
岐阜市,35.4233,136.7606,岐阜県
静岡市,34.9756,138.3828,静岡県
名古屋市,35.1815,136.9066,愛知県
津市,34.7303,136.5086,三重県
大津市,35.0045,135.8686,滋賀県
京都市,35.0116,135.7681,京都府
大阪市,34.6937,135.5023,大阪府
神戸市,34.6901,135.1955,兵庫県
奈良市,34.6851,135.8048,奈良県
和歌山市,34.226,135.1675,和歌山県
鳥取市,35.5011,134.2351,鳥取県
松江市,35.4723,133.0505,島根県
岡山市,34.6618,133.935,岡山県
広島市,34.3853,132.4553,広島県
山口市,34.1785,131.4737,山口県
徳島市,34.0703,134.554,徳島県
高松市,34.3401,134.0434,香川県
松山市,33.8392,132.7657,愛媛県
高知市,33.5597,133.5311,高知県
福岡市,33.5902,130.4017,福岡県
佐賀市,33.2635,130.3009,佐賀県
長崎市,32.7503,129.8777,長崎県
熊本市,32.7898,130.7417,熊本県
大分市,33.2396,131.6093,大分県
宮崎市,31.9111,131.4239,宮崎県
鹿児島市,31.5602,130.5581,鹿児島県
那覇市,26.2124,127.6809,沖縄県
